ax,ay,az,ax_q15,ay_q15,az_q15
0.053772,0.148811,0.654240,1762,4876,21438
0.112965,0.191596,0.692615,3702,6278,22696
0.102853,0.181694,0.627137,3370,5954,20550
0.053070,0.184253,0.644426,1739,6038,21117
0.099497,0.249495,0.724636,3260,8175,23745
0.191222,0.124016,0.749063,6266,4064,24545
0.183274,0.149431,0.633983,6006,4897,20774
0.135143,0.248635,0.697397,4428,8147,22852
0.146831,0.259497,0.768783,4811,8503,25191
0.189687,0.133068,0.702607,6216,4360,23023
0.167026,0.250921,0.552752,5473,8222,18113
0.143305,0.199296,0.728475,4696,6531,23871
0.126839,0.135311,0.711905,4156,4434,23328
0.242679,0.174637,0.632481,7952,5722,20725
0.162611,0.214843,0.639928,5328,7040,20969
0.126849,0.214362,0.706030,4157,7024,23135
0.179417,0.099734,0.656542,5879,3268,21514
0.231321,0.138496,0.573362,7580,4538,18788
0.196425,0.132052,0.582451,6436,4327,19086
0.156905,0.019297,0.661835,5141,632,21687
0.161721,0.046857,0.558979,5299,1535,18317
0.245042,0.137565,0.603165,8030,4508,19765
0.121234,0.045660,0.631005,3973,1496,20677
0.087711,0.054460,0.610849,2874,1785,20016
0.139260,0.058472,0.507911,4563,1916,16643
0.149173,0.074161,0.559926,4888,2430,18348
0.057652,-0.041162,0.616964,1889,-1349,20217
-0.014474,0.084931,0.498461,-474,2783,16334
0.032499,0.019923,0.521808,1065,653,17099
0.085937,-0.068880,0.580024,2816,-2257,19006
-0.017592,0.007520,0.537224,-576,246,17604
-0.059737,0.079896,0.421148,-1957,2618,13800
-0.023714,-0.019730,0.536771,-777,-647,17589
0.032694,-0.036713,0.570852,1071,-1203,18706
-0.040619,0.024843,0.504399,-1331,814,16528
-0.098684,-0.015515,0.469267,-3234,-508,15377
-0.089850,0.004593,0.600501,-2944,151,19677
-0.033477,0.107994,0.557658,-1097,3539,18273
-0.063767,0.086286,0.484111,-2090,2827,15863
-0.098427,-0.004250,0.451460,-3225,-139,14793
-0.135115,0.115944,0.617963,-4427,3799,20249
-0.004156,0.113326,0.556313,-136,3713,18229
-0.059517,0.067748,0.506848,-1950,2220,16608
-0.124858,0.121729,0.541494,-4091,3989,17744
-0.086874,0.125818,0.603900,-2847,4123,19789
-0.048884,0.169687,0.517039,-1602,5560,16942
-0.038603,0.104210,0.524183,-1265,3415,17176
-0.064722,0.211553,0.582913,-2121,6932,19101
-0.009089,0.214032,0.525185,-298,7013,17209
0.038153,0.151641,0.538915,1250,4969,17659
-0.027446,0.218230,0.505664,-899,7151,16570
-0.110159,0.224451,0.612499,-3610,7355,20070
-0.008840,0.213056,0.553173,-290,6981,18126
0.076941,0.190295,0.511542,2521,6236,16762
-0.014904,0.266811,0.645128,-488,8743,21140
0.002435,0.222978,0.623415,80,7307,20428
0.070433,0.156358,0.549217,2308,5124,17997
0.145277,0.225572,0.618186,4760,7392,20257
0.055419,0.191618,0.657957,1816,6279,21560
0.037116,0.057454,0.664886,1216,1883,21787
0.109170,0.130612,0.599342,3577,4280,19639
0.151542,0.145261,0.652754,4966,4760,21389
0.202083,0.034419,0.629258,6622,1128,20620
0.097014,0.070417,0.577031,3179,2307,18908
