index,filtered_ax,filtered_ay,filtered_az,mag_sq
0,15,42,187,36958
1,116,288,1226,1599476
2,496,1152,4784,24459776
3,1276,2729,10879,127428258
4,2190,4452,16916,310767460
5,2760,5633,20410,455916389
6,3006,6191,21640,515654117
7,3496,6262,22397,553060269
8,4379,6017,22857,577822379
9,5086,5967,22901,585928286
10,5248,6430,22927,594533733
11,5217,6886,23063,606536054
12,5307,6899,22743,593004499
13,5357,6675,22113,562237843
14,5238,6377,21912,548238517
15,5306,6031,22084,552229653
16,5593,5860,22025,550721874
17,5693,6025,21764,542382570
18,5577,5927,21640,534521858
19,5691,5299,21293,513858731
20,6114,4473,20567,480390214
21,6292,3626,20007,453017189
22,6083,2828,19835,438427698
23,5918,2387,19800,432760493
24,5770,2386,19769,429799257
25,5257,2402,19747,423349662
26,4527,2153,19461,403859659
27,4048,1866,18859,375530141
28,3668,1535,18468,356877473
29,2811,1182,18306,344408481
30,1745,907,18060,330031274
31,1166,536,17760,317064452
32,944,125,17595,310490786
33,445,54,17259,298074022
34,-287,328,16777,281657682
35,-631,325,16709,279694467
36,-642,15,17030,290433289
37,-981,-133,17166,295651606
38,-1708,99,17185,298251290
39,-2208,685,17438,309428333
40,-2250,1465,17565,315737950
41,-2283,1977,17199,304926219
42,-2584,2154,16977,299535301
43,-2710,2407,17378,315132633
44,-2455,2833,17840,332318514
45,-2304,3198,17906,336160456
46,-2505,3496,17892,338620705
47,-2645,3977,18027,347785283
48,-2320,4451,18008,349481865
49,-1833,4910,17883,347269678
50,-1378,5485,17828,349821693
51,-855,5979,17809,353639947
52,-480,6282,17681,352311685
53,-648,6493,17755,357818978
54,-1019,6783,18083,374042339
55,-789,6982,18324,385139821
56,-58,7113,18588,396111877
57,504,7252,19056,415976656
58,876,7154,19514,432743288
59,1583,6795,19708,437083178
60,2373,6325,19947,443519563
61,2629,5641,20497,458859531
62,2621,4741,20897,466031331
63,3044,4005,20896,461948777
